Mineral_Commodity,Year,Note,Quantity,Data_type,Unit_MEAS,Form,Geographic_Region,Figure_Use,Data Sources,,,,,,,,,,,,,,,,
Cobalt,2021,estimated,1600,Production,Metric tons,"Ore, Cobalt content",Morocco,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2021,estimated,1100,Production,Metric tons,"Ore, Cobalt content",New Caledonia,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2021,reported,2953,Production,Metric tons,"Ore, Cobalt content",Papua New Guinea,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2021,estimated,3600,Production,Metric tons,"Ore, Cobalt content",Philippines,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2021,reported,8000,Production,Metric tons,"Ore, Cobalt content",Russia,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2021,reported,355,Production,Metric tons,"Ore, Cobalt content",South Africa,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2021,rounded,162000,Production,Metric tons,"Ore, Cobalt content",Total,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2021,estimated,2700,Production,Metric tons,"Ore, Cobalt content",Turkey,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2021,estimated,650,Production,Metric tons,"Ore, Cobalt content",United States,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2021,reported,247,Production,Metric tons,"Ore, Cobalt content",Zambia,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2021,reported,345,Production,Metric tons,"Ore, Cobalt content",Zimbabwe,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2022,revised,5793,Production,Metric tons,"Ore, Cobalt content",Australia,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2022,reported,291,Production,Metric tons,"Ore, Cobalt content",Brazil,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2022,revised,3573,Production,Metric tons,"Ore, Cobalt content",Canada,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
